COLLEGE OF ENGINEERING & ARCHITECURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUTOCAD MATLAB LABORATORY BLDG. 43 ROOM 701,,,,,,,,,,,,LEGENDS:,,,,,,,,,,,,LEGENDS:,,,,,,,,,,,,,LEGENDS:,,,,,,,,,,,,,LEGENDS:,,,,,,,,,,,,,,,,,
MASTER PLAN,,,,,,,,,,,,C - Complete,,,,,,INC - Incomplete,,,,,,X - Schedule,,,,,,,,P - Performed,,,,,X - Schedule,,,,,,,,P - Performed,,,,,CA - Calibrated,,,,,,X - Schedule,,,,,,,,,,,
MACHINES/EQUIPMENT/INSTRUMENTS (MEI'S) FY 2024,,,,,,,,,,,,X - Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NCA - Not Calibrated,,,,,,P- Performed/OK,,,,,,,,,,,
PARTICULARS,,,,,,,,,,,,INVENTORY ,,,,,,,,,,,,PREVENTIVE MAINTENANCE,,,,,,,,,,,,,CORRECTIVE MAINTENANCE,,,,,,,,,,,,,CALIBRATION,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,STATUS,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,STATUS,CALIBRATION FREQUENCY,CALIBRATION DATE,CALIBRATION DUE DATE,CERTIFICATE NO.,TRACEABILITY,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,REMARKS / STATUS
No.,Name of Machine/Equipment/Instrument,QTY,Unit,Date Aquired ,Brand,Serial No. ,,Condition (Please Put (/),,User Manual Code (0/1),Callibration Code (0/1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Functional,Non-Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A) Frequently Used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,System Unit,Monitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ACER Core i3 with mouse and keyboard - Student PC,1,SET,2016,,DTXOCSP011539021A49600,MMLZ3SS012504065942415,,,,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,Functional,C,,,X,,,X,,,X,,,Functional,,,,,,,,,,,,,,,,,,
2,ACER Core i3 with mouse and keyboard - Student PC,1,SET,2016,,DTXOCSP0115400E6C9600,MMLZ3SS012504060C22415,,,,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,Functional,C,,,X,,,X,,,X,,,Functional,,,,,,,,,,,,,,,,,,
3,ACER Core i3 with mouse and keyboard - Student PC,1,SET,2016,,DTXOCSP011539021A59600,MMLZ3SS012504062F02415,,,,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,Functional,C,,,X,,,X,,,X,,,Functional,,,,,,,,,,,,,,,,,,
4,ACER Core i3 with mouse and keyboard - Student PC,1,SET,2016,,DTXOCSP01154000ED59600,MMLZ3SS012504060BB2415,,,,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,Functional,C,,,X,,,X,,,X,,,Functional,,,,,,,,,,,,,,,,,,
5,ACER Core i3 with mouse and keyboard - Student PC,1,SET,2016,,DTXOCSP01154000E899600,MMLZ3SS012504064472415,,,,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,Functional,C,,,X,,,X,,,X,,,Functional,,,,,,,,,,,,,,,,,,
6,ACER Core i3 with mouse and keyboard - Student PC,1,SET,2016,,DTXOCSP01154000ED29600,MMLZ3SS01250462DE2415,,,,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,Functional,C,,,X,,,X,,,X,,,Functional,,,,,,,,,,,,,,,,,,
7,ACER Core i3 with mouse and keyboard - Student PC,1,SET,2016,,DTXOCSP011539022089600,MMLZ3SS012504062E52415,,,,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,Functional,C,,,X,,,X,,,X,,,Functional,,,,,,,,,,,,,,,,,,
8,ACER Core i3 with mouse and keyboard - Student PC,1,SET,2016,,DTXOCSP0115000E549600,MMLZ3SS012504061AB2415,,,,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,Functional,C,,,X,,,X,,,X,,,Functional,,,,,,,,,,,,,,,,,,
9,ACER Core i3 with mouse and keyboard - Student PC,1,SET,2016,,DTXOCSP01154000E9C9600,MMLZ3SS012504063D72415,,,,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,Functional,C,,,X,,,X,,,X,,,Functional,,,,,,,,,,,,,,,,,,
10,ACER Core i3 with mouse and keyboard - Student PC,1,SET,2016,,DTXOCSP01154000E6F9600,MMLZ3SS012504063FB2415,,,,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,Functional,C,,,X,,,X,,,X,,,Functional,,,,,,,,,,,,,,,,,,
11,ACER Core i3 with mouse and keyboard - Student PC,1,SET,2016,,DTXOCSP011539021FB9600,MMLZ3SS012504063942415,,,,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,Functional,C,,,X,,,X,,,X,,,Functional,,,,,,,,,,,,,,,,,,
12,ACER Core i3 with mouse and keyboard - Student PC,1,SET,2016,,DTXOCSP01154000E899600,MMLZ3SS012504067CA2415,,,,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,Functional,C,,,X,,,X,,,X,,,Functional,,,,,,,,,,,,,,,,,,
13,ACER Core i3 with mouse and keyboard - Student PC,1,SET,2016,,DTXOCSP01154000ECE9600,MMLZ3SS0125040641D2415,,,,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,Functional,C,,,X,,,X,,,X,,,Functional,,,,,,,,,,,,,,,,,,
14,ACER Core i3 with mouse and keyboard - Student PC,1,SET,2016,,DTXOCSP01154000EE59600,MMLZ3SS012504062DE22415,,,,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,Functional,C,,,X,,,X,,,X,,,Functional,,,,,,,,,,,,,,,,,,
15,ACER Core i3 with mouse and keyboard - Student PC,1,SET,2016,,DTXOCSP01154000E4C9600,MMLVGSS014444001E14200,,,,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,Functional,C,,,X,,,X,,,X,,,Functional,,,,,,,,,,,,,,,,,,
16,ACER Core i3 with mouse and keyboard - Student PC,1,SET,2016,,DTXOCSP01154000E879600,MMLZ3SS012504067C12415,,,,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,Functional,C,,,X,,,X,,,X,,,Functional,,,,,,,,,,,,,,,,,,
17,ACER Core i3 with mouse and keyboard - Student PC,1,SET,2016,,DTXOCSP01154000EDD9600,MMLZ3SS0125040660C2415,,,,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,Functional,C,,,X,,,X,,,X,,,Functional,,,,,,,,,,,,,,,,,,
18,ACER Core i3 with mouse and keyboard - Student PC,1,SET,2016,,DTXOCSP01154000EF19600,MMLZ3SS0125040677D2415,,,,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,Functional,C,,,X,,,X,,,X,,,Functional,,,,,,,,,,,,,,,,,,
19,ACER Core i3 with mouse and keyboard - Student PC,1,SET,2016,,DTXOCSP01154000E689600,MMLZ3SS012504062342415,,,,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,Functional,C,,,X,,,X,,,X,,,Functional,,,,,,,,,,,,,,,,,,
20,ACER Core i3 with mouse and keyboard - Student PC,1,SET,2016,,DTXOCSP0115400EB69600,MMLZ3SS012504060CA2415,,,,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,Functional,C,,,X,,,X,,,X,,,Functional,,,,,,,,,,,,,,,,,,
21,ACER Core i3 with mouse and keyboard - Student PC,1,SET,2016,,DTXOCSP01154000E489600,MMLZ3SS012504065142415,,,,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,Functional,C,,,X,,,X,,,X,,,Functional,,,,,,,,,,,,,,,,,,
22,ACER Core i3 with mouse and keyboard - Student PC,1,SET,2016,,DTXOCSP01154000EDE9600,MMLZ3SS012504067572415,,,,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,Functional,C,,,X,,,X,,,X,,,Functional,,,,,,,,,,,,,,,,,,
23,ACER Core i3 with mouse and keyboard - Student PC,1,SET,2016,,DTXOCSP011539021B5960,MMLZ3SS012504062DF2415,,,,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,Functional,C,,,X,,,X,,,X,,,Functional,,,,,,,,,,,,,,,,,,
24,ACER Core i3 with mouse and keyboard - Student PC,1,SET,2016,,DTXOCSP01154000E8EC39600,MMLZ3SS012504067DB2415,,,,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,Functional,C,,,X,,,X,,,X,,,Functional,,,,,,,,,,,,,,,,,,
25,ACER Core i3 with mouse and keyboard - Student PC,1,SET,2016,,DTXOCSP0115390222D9600,MMLZ3SS012504065D92415,,,,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,Functional,C,,,X,,,X,,,X,,,Functional,,,,,,,,,,,,,,,,,,
