"Republic of the Philippines
University of Science and Technology of Southern Philippines
Alubijid | Cagayan de Oro | Claveria | Jasaan | Oroquieta | Panaon
Laboratory Management Office – CDO Campus
C.M Recto Avenue, Lapasan, Cagayan de Oro City",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,INVENTORY,,,,,,,,,,,,PREVENTIVE MAINTENACE,,,,,,,,,,,,,CORRECTIVE MAINTENANCE,,,,,,,,,,,,,CALIBRATION,,,,,,,,,,,,,,,,,,
COLLEGE OF ENGINEERING & ARCHITECTURE,,,,,,,,,,,,,,LEGENDS:,,,,,,,,,,,,LEGENDS:,,,,,,,,,,,,,LEGENDS:,,,,,,,,,,,,,LEGENDS:,,,,,,,,,,,,,,,,,,
CIVIL ENGINEERING LABORATORY BUILDING 5 ROOM 103,,,,,,,,,,,,,,C - Complete,,,,,,INC - Incomplete,,,,,,X - Schedule,,,,,,,,P - Performed,,,,,X - Schedule,,,,,,,,P - Performed,,,,,X - Next Calibration,,,,,,,,,,,,,,,,,,
MACHINES/EQUIPMENT/INSTRUMENTS (MEI'S) MASTER PLAN FY 2024,,,,,,,,,,,,,,X - Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P - Performed,,,,,,,,,,,,,,,,,,
No.,Manufacturer/Brand,Particular's/Name of MEI's,Type Model,QTY,Unit,Aquisition Aquired ,Serial/Product No. ,Price (Php),Condition Please Put (/),,User Manual Code (0/1),Callibration Code (0/1),Memorandum Receipt (Name of Person),JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,STATUS,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,STATUS,CALIBRATION FREQUENCY,DATE CALIBRATED,CALIBRATION DUE ,CERTIFICATE NO.,TRACEABILITY,TYPE OF CALIBRATION,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,REMARKS / STATUS
,,,,,,,,,Functional,Non-Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A) Frequently Used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B)  Moderately Used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BRD: CHEND,"HYDRAULIC UNIVERSAL TESTING MACHINE BRD: CHEND UTM, MODEL: WEW-1000",MODEL: WEW-1000,1,pc,12/19/2016,16-106 05 140-011,"2,785,045.87",,/,1,1,DR. PABILONA,c,,,c,,,x,,,x,,x,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not calibrated / Request to be added to the next calibration schedule
2,"
ELE",Curing Tank Model: 34-6575 Weight: 60kg (brand: ELE),Model: 34-6575,1,pc,8/19/2015,15-1 06 05 140-035,"210,333.00",/,,1,1,ENGR. NUNAG,c,,,c,,,x,,,x,,x,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not calibrated / Request to be added to the next calibration schedule
3,ELE,Sample Splitter/Divider Brand: ELE,,1,pc,8/19/2015,15-1 06 05 140-049,"102,507.00",/,,1,0,ENGR. NUNAG,c,,,c,,,x,,,x,,x,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not calibrated / Request to be added to the next calibration schedule
4,ELE,One -dimensional Consolidation Test Apparatus,,1,pc,8/19/2015,15-1 06 05 140-033,"333,954.00",/,,1,1,ENGR. NUNAG,c,,,c,,,x,,,x,,x,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not calibrated / Request to be added to the next calibration schedule
5,No sticker,GRADUATED CYLINDER (glass) 100ml,,3,pcs,No sticker,No sticker,No sticker,/,,0,1,ENGR. NUNAG,c,,,c,,,x,,,x,,x,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not calibrated / Request to be added to the next calibration schedule
6,No sticker,GRADUATED CYLINDER (glass) 250ml,,3,pcs,No sticker,No sticker,No sticker,/,,0,1,ENGR. NUNAG,c,,,c,,,x,,,x,,x,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not calibrated / Request to be added to the next calibration schedule
7,No sticker,GRADUATED CYLINDER (glass) 500ml,,5,pcs,No sticker,No sticker,No sticker,/,,0,1,ENGR. NUNAG,c,,,c,,,x,,,x,,x,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not calibrated / Request to be added to the next calibration schedule
8,No sticker,GRADUATED CYLINDER (plastic) 500ml,,5,pcs,No sticker,No sticker,No sticker,/,,0,1,ENGR. NUNAG,c,,,c,,,x,,,x,,x,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not calibrated / Request to be added to the next calibration schedule
C) Rarely Used ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not calibrated / Request to be added to the next calibration schedule
9,ELE,"L.A. Abrasion Test Apparatus Brand: ELE,",15/000002,1,,8/19/2015,Serial nos.: 15/000002,"667,827.00",/,,1,1,ENGR. NUNAG,c,,,c,,,x,,,x,,x,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not calibrated / Request to be added to the next calibration schedule
10,ELE,"Set of weights, 100kg comprising 9 x 10kg, '1 x 5kg, 1 x 1 kg. Weight 100kg, Brand: ELE",,,,,15-1 06 05 140-052,"56,330.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not calibrated / Request to be added to the next calibration schedule
11,,10kg,,22,,8/19/2015,,,/,,0,1,ENGR. NUNAG,c,,,c,,,x,,,x,,x,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not calibrated / Request to be added to the next calibration schedule
12,,5kg,,3,,8/19/2015,,,/,,0,1,ENGR. NUNAG,c,,,c,,,x,,,x,,x,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not calibrated / Request to be added to the next calibration schedule
13,,2kg,,6,,8/19/2015,,,/,,0,1,ENGR. NUNAG,c,,,c,,,x,,,x,,x,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not calibrated / Request to be added to the next calibration schedule
14,,1kg,,3,,8/19/2015,,,/,,0,1,ENGR. NUNAG,c,,,c,,,x,,,x,,x,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not calibrated / Request to be added to the next calibration schedule
15,EDIBON,Metacentric Height Determination Apparatus 'Brand: EDIBON,Model:FME 11,1,,8/19/2015,FME110135/14,"85,825.00",/,,1,1,ENGR. NUNAG,c,,,c,,,x,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not calibrated / Request to be added to the next calibration schedule
16,EDIBON,Metacentric Height Determination Apparatus 'Brand: EDIBON,Model:FME 11,1,,8/19/2015,FME110132/14,"85,825.00",/,,1,1,ENGR. NUNAG,c,,,c,,,x,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not calibrated / Request to be added to the next calibration schedule
17,EDIBON,Metacentric Height Determination Apparatus 'Brand: EDIBON,Model:FME 11,1,,8/19/2015,  'FME110140/14,"85,825.00",/,,1,1,ENGR. NUNAG,c,,,c,,,x,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not calibrated / Request to be added to the next calibration schedule
