CIVIL LABORATORY MACHINES / EQUIPMENT / INSTRUMENTS MASTERPLAN 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jan,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARTICULARS,,,,,,,INVENTORY ,,,,,,,,,,,,PREVENTIVE MAINTENANCE,,,,,,,,,,,,CORRECTIVE MAINTENANCE,,,,,,,,,,,,CALLIBRATION,,,,,,,,,,,
Name of Machine / Equipment / Instrument,,Quantity,Date Aquired ,Serial No. ,Manual Code (0/1),Callibration Code (0/1),JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A) Frequently Used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Electronic Balance, 2 kg cap, 0.1 g accuracy ELE",1,8/19/2015,140812015,,1,x,,,x,,,x,,,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
,Electronic Balance  2 kg. cap. 1.0 g acc. ELE,1,8/19/2015,141007001, ,1,x,,,x,,,x,,,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
,Electronic Balance  2 kg. cap. 1.0 g acc. ELE,1,,14923018,,1,x,,,x,,,x,,,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
,Electronic Top Loading Balance 1200g at 0.01g,1,,141007003,,1,x,,,x,,,x,,,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
,"Electronic Digital Caliper (Water proof) Brand: Lutron,  Model # DC515",1,8/19/2015,15-1 06 05 140-029 ,,1,x,,,x,,,x,,,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
,"Electronic Digital Caliper (Water proof) Brand: Lutron,  Model # DC515",1,8/19/2015,15-1 06 05 140-029-1,,1,x,,,x,,,x,,,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
,"Electronic Digital Caliper (Water proof) Brand: Lutron,  Model # DC515",1,8/19/2015,15-1 06 05 140-029-2,,1,x,,,x,,,x,,,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
,"Oven, thermostat Controlled;  Model: MTO/50/F",1,8/19/2015,14L084,,1,x,,,x,,,x,,,x,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,
,"Set of Sieves, Brand: ELE  3 SETS",,8/19/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,150 micron       8inches        Stainless Steel,1,,14100371,0,0,x,,,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,,14101040,0,0,x,,,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,,14101041,0,0,x,,,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,300 micron       8 inches       Stainless Steel,1,,14100377,0,0,x,,,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,,14100376,0,0,x,,,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,,14100375,0,0,x,,,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,500 micron       8 inches       Stainless Steel,1,,14101030,0,0,x,,,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,,14101031,0,0,x,,,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,,14101032,0,0,x,,,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0mm              8 inches       Stainless Steel,1,,14101067     ,0,0,x,,,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,,14091722,0,0,x,,,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,,14091723,0,0,x,,,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.0mm              8 inches       Stainless Steel,1,,14100365,0,0,x,,,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,,14100363,0,0,x,,,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,,14101033,0,0,x,,,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.0mm              8 inches       Stainless Steel,1,,14100368,0,0,x,,,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,,14100367       ,0,0,x,,,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,,14100366,0,0,x,,,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8inches Diameter Lid,3,,,0,0,x,,,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8 inches Diameter Receiver,3,,,0,0,x,,,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SEIVES (USA),,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"        #4 (4.75mm) (0.187"")",1,,,0,0,x,,,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"        #8 (2.36mm) (0.0937"")",1,,,0,0,x,,,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"       #16 (1.18mm) (0.0469"")",1,,,0,0,x,,,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"       #30 (600mic) (0.0234"")",1,,,0,0,x,,,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"        #40 (425 mic) (0.0165"")",1,,,0,0,x,,,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"        #50 (300mic) (0.0117"")",1,,,0,0,x,,,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"        #60 (250mic) (0.0098"")",1,,,0,0,x,,,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"        #100 (150mic) (0.059"")",1,,serial#1,0,0,x,,,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"        #100 (150mic) (0.059"")",1,,serial#2,,0,x,,,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"         #200 (75mic) (0.0029"")",1,,serial#1,0,0,x,,,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"         #200 (75mic) (0.0029"")",1,,serial#2,0,0,x,,,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"        3 INCH (75mm) (3.0"")",1,,,0,0,x,,,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"       1 1/2 INCH (37.5mm) (1.5"")",1,,,0,0,x,,,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"       1 INCH (25mm) (1.0"")",1,,,0,0,x,,,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"       3/4 INCH (19.0 mm) (0.750"")",1,,,0,0,x,,,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"        1/2 INCH (12.5mm) (0.500"")",1,,,0,0,x,,,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"         3/8 INCH (9.5mm) (0.375"")",1,,,0,0,x,,,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"sieve #200 jetmaterial  (new)   received march 22, 2023",1,,22071460,0,,,,,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"sieve #200 jetmaterial  (new)   received march 22, 2023",1,,22071443,0,,,,,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,THEODOLITE ,1 set,8/19/2015,A67500,,1,x,,,x,,,x,,,x,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,
,,1 set,,A67501,,1,x,,,x,,,x,,,x,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,
,,1 set,,A67502,,1,x,,,x,,,x,,,x,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,
,,1 set,,A67505,,1,x,,,x,,,x,,,x,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,
,THEODOLITE (DIGITAL) KOLIDA,1 SET,8/22/2019,"T306755,",0,1,x,,,x,,,x,,,x,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,
,,1 SET,8/22/2019,"T2B7114,",0,1,x,,,x,,,x,,,x,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,
,,1 SET,8/22/2019,"T307531, ",0,1,x,,,x,,,x,,,x,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,
,,1 SET,8/22/2019,"T306840,",0,1,x,,,x,,,x,,,x,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTAL STATION   Model: ZTS 320R,1 SET,8/19/2015,Z17976,1,1,x,,,x,,,x,,,x,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
,,1 SET,8/19/2015,Z17621,1,1,x,,,x,,,x,,,x,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
,,1 SET,8/19/2015,Z17994,1,1,x,,,x,,,x,,,x,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
,,1 SET,8/19/2015,Z16702,1,1,x,,,x,,,x,,,x,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
,,1 SET,8/19/2015,Z18017,1,1,x,,,x,,,x,,,x,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
,,1 SET,8/19/2015,Z17627,1,1,x,,,x,,,x,,,x,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
,,1 SET,8/19/2015,Z17722,1,1,x,,,x,,,x,,,x,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
,,1 SET,8/19/2015,Z17848,1,1,x,,,x,,,x,,,x,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
,PRISM,8,,,0,,x,,,x,,,x,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Automatic Engineer's Level ,1 SET,8/19/2015,W1702520,0,1,x,,,x,,,x,,,x,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
,,1 SET,8/19/2015,W1702261,0,1,x,,,x,,,x,,,x,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
,,1 SET,8/19/2015,W1702574,0,1,x,,,x,,,x,,,x,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
,,1 SET,8/19/2015,W1702523,0,1,x,,,x,,,x,,,x,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
,,1 SET,8/19/2015,W1702524,0,1,x,,,x,,,x,,,x,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
,,1 SET,8/19/2015,W1702525,0,1,x,,,x,,,x,,,x,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
