"Republic of the Philippines
University of Science and Technology of Southern Philippines
Alubijid | Cagayan de Oro | Claveria | Jasaan | Oroquieta | Panaon
Laboratory Management Office – CDO Campus
C.M Recto Avenue, Lapasan, Cagayan de Oro City",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,INVENTORY,,,,,,,,,,,,PREVENTIVE MAINTENACE,,,,,,,,,,,,,CORRECTIVE MAINTENANCE,,,,,,,,,,,,,CALIBRATION,,,,,,,,,,,,,,,,,,
COLLEGE OF ENGINEERING & ARCHETICTURE,,,,,,,,,,,,,,LEGENDS:,,,,,,,,,,,,LEGENDS:,,,,,,,,,,,,,LEGENDS:,,,,,,,,,,,,,LEGENDS:,,,,,,,,,,,,,,,,,,
ELECTRICAL ENGINEERING LABORATORY BUILIDNG 42 ROOM 204,,,,,,,,,,,,,,C - Complete,,,,,,INC - Incomplete,,,,,,X - Schedule,,,,,,,,P - Performed,,,,,X - Schedule,,,,,,,,P - Performed,,,,,X - Next Calibration,,,,,,,,,,,,,,,,,,
MACHINES/EQUIPMENT/INSTRUMENTS (MEI'S) MASTER PLAN FY 2024,,,,,,,,,,,,,,X - Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P - Performed,,,,,,,,,,,,,,,,,,
No.,Manufacturer/Brand,Particular's/Name of MEI's,Type Model,QTY,Unit,Aquisition Aquired ,Serial/Product No. ,Price (Php),Condition Please Put (/),,User Manual Code (0/1),Callibration Code (0/1),Memorandum Receipt (Name of Person),JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,STATUS,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,STATUS,CALIBRATION FREQUENCY,DATE CALIBRATED,CALIBRATION DUE ,CERTIFICATE NO.,TRACEABILITY,TYPE OF CALIBRATION,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,REMARKS / STATUS
,,,,,,,,,Functional,Non-Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A) Frequently Used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B)  Moderately Used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C) Rarely Used ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,No Sticker,Motor/DC Shunt Generator,No Sticker,1,Set,2008,08-233-047,"Part of 649,000.00",/,,0,0,Rojien Morcilla,C,,,C,,,X,,,X,,,P,,,P,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
2,No Sticker,Shunt Field Rheostat,No Sticker,1,Unit,2008,08-233-047,"Part of 649,000.00",/,,0,0,,C,,,C,,,X,,,X,,,P,,,P,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
3,No Sticker,Universal Motor,No Sticker,1,Set,2008,08-233-047,"Part of 649,000.00",/,,0,0,,C,,,C,,,X,,,X,,,P,,,P,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
4,No Sticker,Capacitor-Start Induction Motor,No Sticker,1,Set,2008,08-233-047,"Part of 649,000.00",/,,0,0,,C,,,C,,,X,,,X,,,P,,,P,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
5,No Sticker,Capacitor-Run Induction Motor,No Sticker,1,Set,2008,08-233-047,"Part of 649,000.00",/,,0,0,,C,,,C,,,X,,,X,,,P,,,P,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
6,No Sticker,Squirrel-Cage Induction Motor,No Sticker,1,Set,2008,08-233-047,"Part of 649,000.00",/,,0,0,,C,,,C,,,X,,,X,,,P,,,P,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
7,No Sticker,Main Transformer,No Sticker,1,Unit,2008,08-233-047,"Part of 649,000.00",/,,0,0,,C,,,C,,,X,,,X,,,P,,,P,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
8,No Sticker,Teaser Transformer,No Sticker,1,Unit,2008,08-233-047,"Part of 649,000.00",/,,0,0,,C,,,C,,,X,,,X,,,P,,,P,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
9,No Sticker,Multi-Tap Transformer,No Sticker,3,Units,2008,08-233-047,"Part of 649,000.00",/,,0,0,,C,,,C,,,X,,,X,,,P,,,P,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
10,No Sticker,Watt-Meter,No Sticker,2,Units,2008,08-233-047,"Part of 649,000.00",/,,0,0,,C,,,C,,,X,,,X,,,P,,,P,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
TOTAL MEI'S:,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D) Newly Acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prepared by:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOEL C. GABURNO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Laboratory Technician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
