"Republic of the Philippines
University of Science and Technology of Southern Philippines
Alubijid | Cagayan de Oro | Claveria | Jasaan | Oroquieta | Panaon
Laboratory Management Office – CDO Campus
C.M Recto Avenue, Lapasan, Cagayan de Oro City",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,INVENTORY,,,,,,,,,,,,PREVENTIVE MAINTENACE,,,,,,,,,,,,,CORRECTIVE MAINTENANCE,,,,,,,,,,,,,CALIBRATION,,,,,,,,,,,,,,,,,,
COLLEGE OF ENGINEERING & ARCHITECTURE,,,,,,,,,,,,,,LEGENDS:,,,,,,,,,,,,LEGENDS:,,,,,,,,,,,,,LEGENDS:,,,,,,,,,,,,,LEGENDS:,,,,,,,,,,,,,,,,,,
RENEWABLE ENERGY LABORATORY LRC BUILDING 23 ROOM 406A AND 406B,,,,,,,,,,,,,,C - Complete,,,,,,INC - Incomplete,,,,,,X - Schedule,,,,,,,,P - Performed,,,,,X - Schedule,,,,,,,,P - Performed,,,,,X - Next Calibration,,,,,,,,,,,,,,,,,,
MACHINES/EQUIPMENT/INSTRUMENTS (MEI'S) MASTER PLAN FY 2024,,,,,,,,,,,,,,X - Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P - Performed,,,,,,,,,,,,,,,,,,
No.,Manufacturer/Brand,Particular's/Name of MEI's,Type Model,QTY,Unit,Aquisition Aquired ,Serial/Product No. ,Price (Php),Condition Please Put (/),,User Manual Code (0/1),Callibration Code (0/1),Memorandum Receipt (Name of Person),JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,STATUS,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,STATUS,CALIBRATION FREQUENCY,DATE CALIBRATED,CALIBRATION DUE ,CERTIFICATE NO.,TRACEABILITY,TYPE OF CALIBRATION,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,REMARKS / STATUS
,,,,,,,,,Functional,Non-Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A) Frequently Used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,NO BRAND,SOLAR PANEL 250 WATTS,JGM250-36-P,20,PC,NO STICKER,NO STICKER,"PART OF 5,388,000",10 FUNCTIONAL,10 NON FUCTIONAL,0,0,DR. AMBROSIO CULTURA,C ,,,,c,,,,X,,,,P,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for Calibration
2,,SOLAR PANEL 200WATTS,NO MODEL,100,PC,NO STICKER,NO STICKER,"PART OF 5,388,001",/,,0,0,,C ,,,,c,,,,X,,,,P,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for Calibration
3,ASPEN,DRY TYPE TRANSFORMER (230VAC TO 330VAC),ASPEN,1,PC,NO STICKER,NO STICKER ,"PART OF 5,388,001",/,,0,0,,C ,,,,c,,,,X,,,,P,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for Calibration
4,,DRY TYPE TRANSFORMER (330VAC TO 230VAC),ASPEN,1,PC,NO STICKER,NO STICKER,"PART OF 5,388,001",/,,0,0,,C ,,,,c,,,,X,,,,P,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for Calibration
5,SOLAX,SINGLE PHASE ON GRID INVERTER 5KW,SOLAX,2,PC,10/10/2014,14-06-03040-002,"1-LOT 883,101.74 & 1LOT 1,005,182.57",/,,1,0,,C ,,,,c,,,,X,,,,P,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for Calibration
6,DE LORENZO,THREE PHASE TRANSFORMER,DL2100TT,1,PC,7/1/2015,14-06-030-050-002,"PART OF 3,503,802.92",/,,1,0,,,,C,,,x,,,,X,,,,,P,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for Calibration
7,,DIGITAL POWER FACTOR METER,DL2109T27,1,PC,7/1/2015,14-06-030-050-002,"PART OF 3,503,802.92",/,,1,0,,,,C,,,x,,,,X,,,,,P,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for Calibration
8,,MOVING COIL AMMETER,DL2109T1AB,1,PC,7/1/2015,14-06-030-050-002,"PART OF 3,503,802.92",/,,1,0,,,,C,,,x,,,,X,,,,,P,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for Calibration
9,,MAXIMUM DEMAND METER,DL2109T29,1,PC,7/1/2015,14-06-030-050-002,"PART OF 3,503,802.92",/,,1,0,,,,C,,,x,,,,X,,,,,P,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for Calibration
10,,FREQUENCY METER,DL2109T16,1,PC,7/1/2015,14-06-030-050-002,"PART OF 3,503,802.92",/,,1,0,,,,C,,,x,,,,X,,,,,P,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for Calibration
11,,DIGITAL AC MULTIRANGE POWER METER,DL2109T26,1,PC,7/1/2015,14-06-030-050-002,"PART OF 3,503,802.92",/,,1,0,,,,C,,,x,,,,X,,,,,P,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for Calibration
12,,POWER METER,DL2109TA,1,PC,7/1/2015,14-06-030-050-002,"PART OF 3,503,802.92",/,,1,0,,,,C,,,x,,,,X,,,,,P,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for Calibration
13,,MOVING COIL AMMETER,DL2109T2A5,1,PC,7/1/2015,14-06-030-050-002,"PART OF 3,503,802.92",/,,1,0,,,,C,,,x,,,,X,,,,,P,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for Calibration
14,,VARIABLE DC POWER SUPPLY,DL2108T01,1,PC,7/1/2015,14-06-030-050-002,"PART OF 3,503,802.92",/,,1,0,,,,C,,,x,,,,X,,,,,P,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for Calibration
15,,MOVING IRON VOLMETER,DL2109T1PV,1,PC,7/1/2015,14-06-030-050-002,"PART OF 3,503,802.92",/,,1,0,,,,C,,,x,,,,X,,,,,P,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for Calibration
16,,OPTICAL TRANSCUDER,DL2031M,1,PC,7/1/2015,14-06-030-050-002,"PART OF 3,503,802.92",/,,1,0,,,,C,,,x,,,,X,,,,,P,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for Calibration
17,,SINGLE PHASE WATT METER,DL2109T17,1,PC,7/1/2015,14-06-030-050-002,"PART OF 3,503,802.92",/,,1,0,,,,C,,,x,,,,X,,,,,P,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for Calibration
B)  Moderately Used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,DE LORENZO,MOTOR DRIVEN POWER SUPPLY WITH AUTOMATIC REGULATION,DL1067S,2,PC,7/17/2013,13-205-009,"PART OF 1,072,354.23",/,,1,0,DR. AMBROSIO CULTURA,,C,,,,,X,,,,,,,P,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for Calibration
19,,THREE PHASE TRANSFORMER,D1080TT,4,PC,7/17/2013,13-205-010-1,"PART OF 1,072,354.23",/,,1,0,,,C,,,,,X,,,,,,,P,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for Calibration
20,,ELECTRIC POWER MEASURING MODULE,DL10065N,2,PC,7/17/2013,13-205-011,"PART OF 1,072,354.23",/,,1,0,,,C,,,,,X,,,,,,,P,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for Calibration
