"Republic of the Philippines
University of Science and Technology of Southern Philippines
Alubijid | Cagayan de Oro | Claveria | Jasaan | Oroquieta | Panaon
Laboratory Management Office – CDO Campus
C.M Recto Avenue, Lapasan, Cagayan de Oro City",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLEGE OF INFORMATION TECHNOLOGY & COMPUTING,,,,,,,,,,,,,,,INVENTORY,,,,,,,,,,,,PREVENTIVE MAINTENACE,,,,,,,,,,,,,CORRECTIVE MAINTENANCE,,,,,,,,,,,,,CALIBRATION,,,,,,,,,,,,,,,,,,
DATA SCIENCE LABORATORY ICT BLDG. 9-204 2ND FLR.,,,,,,,,,,,,,,,LEGENDS:,,,,,,,,,,,,LEGENDS:,,,,,,,,,,,,,LEGENDS:,,,,,,,,,,,,,LEGENDS:,,,,,,,,,,,,,,,,,,
MACHINES/EQUIPMENT/INSTRUMENTS (MEI'S) MASTER PLAN FY 2024,,,,,,,,,,,,,,,C - Complete,,,,,,INC - Incomplete,,,,,,X - Schedule,,,,,,,,P - Performed,,,,,X - Schedule,,,,,,,,P - Performed,,,,,X - Next Calibration,,,,,,,,,,,,,,,,,,
No.,Manufacturer/Brand,Particular's/Name of MEI's,Type Model,QTY,Unit,Aquisition Aquired ,Serial/Product No. ,,Price (Php),Condition Please Put (/),,User Manual Code (0/1),Callibration Code (0/1),Memorandum Receipt (Name of Person),X - Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P - Performed,,,,,,,,,,,,,,,,,,
,,,,,,,MONITOR,CPU,,Functional,Non-Functional,,,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,STATUS,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,STATUS,CALIBRATION FREQUENCY,DATE CALIBRATED,CALIBRATION DUE,CERTIFICATE NO.,TRACEABILITY,TYPE OF CALIBRATION,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,REMARKS / STATUS
A) Frequently Used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ACER,ACER VERITON M2640G,COMPUTER,41,UNIT,1/4/2019,MMLY7SS0228130BC1D858B,DTVPPSP339846048929600,"56,810",40,1,1,N/A,"MATTHEW MAULION, MSc.",,,C,,,X,,,X,,,X,,,P,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n/a
2,,,,,,,MMLY7SS0228130BC24858B,DTVPPSP339846048AB9600,,,,,,,,,C,,,X,,,X,,,X,,,P,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n/a
3,,,,,,,MMLY7SS0228130BC25858B,DTVPPSP3398460488A9600,,,,,,,,,C,,,X,,,X,,,X,,,P,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n/a
4,,,,,,,MMLY7SS0228130BC26858B,DTVPPSP339846048869600,,,,,,,,,C,,,X,,,X,,,X,,,P,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n/a
5,,,,,,,MMLY7SS0228130BC27858B,DTVPPSP339846048A09600,,,,,,,,,C,,,X,,,X,,,X,,,P,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n/a
6,,,,,,,MMLY7SS0228130BC28858B,DTVPPSP339846048A79600,,,,,,,,,C,,,X,,,X,,,X,,,P,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n/a
7,,,,,,,MMLY7SS0228130BC29858B,DTVPPSP339846048989600,,,,,,,,,C,,,X,,,X,,,X,,,P,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n/a
8,,,,,,,MMLY7SS0228130BC2B858B,DTVPPSP339846048B29600,,,,,,,,,C,,,X,,,X,,,X,,,P,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n/a
9,,,,,,,MMLY7SS0228130BC2C858B,DTVPPSP339846048A99600,,,,,,,,,C,,,X,,,X,,,X,,,P,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n/a
10,,,,,,,MMLY7SS0228130BC2D858B,DTVPPSP339846048A29600,,,,,,,,,C,,,X,,,X,,,X,,,P,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n/a
11,,,,,,,MMLY7SS0228130BC2F858B,DTVPPSP3398460488F9600,,,,,,,,,C,,,X,,,X,,,X,,,P,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n/a
12,,,,,,,MMLY7SS0228130BC30858B,DTVPPSP339846048AF9600,,,,,,,,,C,,,X,,,X,,,X,,,P,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n/a
13,,,,,,,MMLY7SS0228130BC31858B,DTVPPSP339846048A59600,,,,,,,,,C,,,X,,,X,,,X,,,P,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n/a
