__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,INVENTORY,,,,,,,,,,,,PREVENTIVE MAINTENACE,,,,,,,,,,,,,CORRECTIVE MAINTENANCE,,,,,,,,,,,,,CALIBRATION,,,,,,,,,,,,,,,,,,
COLLEGE OF TECHNOLOGY,,,,,,,,,,,,,,,LEGENDS:,,,,,,,,,,,,LEGENDS:,,,,,,,,,,,,,LEGENDS:,,,,,,,,,,,,,LEGENDS:,,,,,,,,,,,,,,,,,,
AUTOCADD LABORATORY BUILIDNG 44 & ROOM 203,,,,,,,,,,,,,,,C - Complete,,,,,,INC - Incomplete,,,,,,X - Schedule,,,,,,,,P - Performed,,,,,X - Schedule,,,,,,,,P - Performed,,,,,X - Next Calibration,,,,,,,,,,,,,,,,,,
MACHINES/EQUIPMENT/INSTRUMENTS (MEI'S) MASTER PLAN FY 2024,,,,,,,,,,,,,,,X - Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P - Performed,,,,,,,,,,,,,,,,,,
No.,Coding,Manufacturer/Brand,Particular's/Name of MEI's,Type Model,QTY,Unit,Aquisition Aquired ,Serial/Product No. ,Price (Php),Condition Please Put (/),,User Manual Code (0/1),Callibration Code (0/1),Memorandum Receipt (Name of Person),JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,STATUS,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,STATUS,CALIBRATION FREQUENCY,DATE CALIBRATED,CALIBRATION DUE ,CERTIFICATE NO.,TRACEABILITY,TYPE OF CALIBRATION,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,REMARKS / STATUS
,,,,,,,,,,Functional,Non-Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A) Frequently Used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,acer,Monitor 19''.5 LED (ACER) with accesories,,33,,,MMLZ3SS-01250406-830-2415,NO STICKER,/,,0,0,NO STICKER,C,,C,,C,,X,,X,,X,,,,P,,P,,X,,X,,X,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
2,2,,(Monitor 19''.5 LED (ACER) with accesories,,,,,MMLZ3SS-01250406-5E8-2415,NO STICKER,/,,0,0,NO STICKER,C,,C,,C,,X,,X,,X,,,,P,,P,,X,,X,,X,,NOT FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
3,3,,Monitor 19''.5 LED (ACER) with accesories,,,,01/30/2016,MMLZ3S-01250406-276-2415,25545.8,/,,0,0,VIMA SOCORO TANDOG,C,,C,,C,,X,,X,,X,,,,P,,P,,X,,X,,X,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
4,4,,Monitor 19''.5 LED (ACER) with accesories,,,,01/30/2016,MMLZ3S-01250406-47D-2415,25545.8,/,,0,0,VIMA SOCORO TANDOG,C,,C,,C,,X,,X,,X,,,,P,,P,,X,,X,,X,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
5,5,,Monitor 19''.5 LED (ACER) with accesories,,,,,MMLZ3SS-01250406-167-2415,NO STICKER,/,,0,0,NO STICKER,C,,C,,C,,X,,X,,X,,,,P,,P,,X,,X,,X,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
6,6,,Monitor 19''.5 LED (ACER) with accesories,,,,01/30/2016,MMLZ3S-01250406-62A-2415,25545.8,/,,0,0,VIMA SOCORO TANDOG,C,,C,,C,,X,,X,,X,,,,P,,P,,X,,X,,X,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
7,7,,Monitor 19''.5 LED (ACER) with accesories,,,,,MMLZ3SS-01250406-832-2415,NO STICKER,/,,0,0,NO STICKER,C,,C,,C,,X,,X,,X,,,,P,,P,,X,,X,,X,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
8,8,,Monitor 19''.5 LED (ACER) with accesories,,,,01/30/2016,MMLZ3S-01250406-7A5-2415,25545.8,/,,0,0,VIMA SOCORO TANDOG,C,,C,,C,,X,,X,,X,,,,P,,P,,X,,X,,X,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
9,9,,Monitor 19''.5 LED (ACER) with accesories,,,,01/30/2016,MMLZ3S-01250406-143-2415,25545.8,/,,0,0,VIMA SOCORO TANDOG,C,,C,,C,,X,,X,,X,,,,P,,P,,X,,X,,X,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
10,10,,Monitor 19''.5 LED (ACER) with accesories,,,,01/30/2016,MMLZ3S-01250406-7E1-2415,25545.8,/,,0,0,VIMA SOCORO TANDOG,C,,C,,C,,X,,X,,X,,,,,P,P,,X,,X,,X,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
11,11,,Monitor 19''.5 LED (ACER) with accesories,,,,01/30/2016,MMLZ3SS-01250406-54B-2415,25545.8,/,,0,0,VIMA SOCORO TANDOG,C,,C,,C,,X,,X,,X,,,,,P,P,,X,,X,,X,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
12,12,,Monitor 19''.5 LED (ACER) with accesories,,,,01/30/2016,MMLZ3S-01250406-471-2415,25545.8,/,,0,0,VIMA SOCORO TANDOG,C,,C,,C,,X,,X,,X,,,,,P,P,,X,,X,,X,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
13,13,,Monitor 19''.5 LED (ACER) with accesories,,,,01/30/2016,MMLZ3S-01250406-5DA-2415,25545.8,/,,0,0,VIMA SOCORO TANDOG,C,,C,,C,,X,,X,,X,,,,,P,P,,X,,X,,X,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
14,14,,Monitor 19''.5 LED (ACER) with accesories,,,,01/30/2016,MMLZ3S-01250406-2DB-2415,25545.8,/,,0,0,VIMA SOCORO TANDOG,C,,C,,C,,X,,X,,X,,,,,P,P,,X,,X,,X,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
15,15,,Monitor 19''.5 LED (ACER) with accesories,,,,,MMLZ3SS-01250406-2D4-2415,NO STICKER,/,,0,0,NO STICKER,C,,C,,C,,X,,X,,X,,,,,P,P,,X,,X,,X,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
16,16,SAMSUNG,(Monitor  LED (SAMSUNG) with accesories,,,,,G063HYCF702617W,NO STICKER,/,,0,0,NO STICKER,C,,C,,C,,X,,X,,X,,,,,P,P,,X,,X,,X,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
