"Republic of the Philippines
University of Science and Technology of Southern Philippines
Alubijid | Cagayan de Oro | Claveria | Jasaan | Oroquieta | Panaon
Laboratory Management Office – CDO Campus
C.M Recto Avenue, Lapasan, Cagayan de Oro City",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,INVENTORY,,,,,,,,,,,,PREVENTIVE MAINTENACE,,,,,,,,,,,,,CORRECTIVE MAINTENANCE,,,,,,,,,,,,,CALIBRATION,,,,,,,,,,,,,,,,,,
COLLEGE OF SCIENCE AND MATHEMATICS,,,,,,,,,,,,,,LEGENDS:,,,,,,,,,,,,LEGENDS:,,,,,,,,,,,,,LEGENDS:,,,,,,,,,,,,,LEGENDS:,,,,,,,,,,,,,,,,,,
"CHEMISTRY LABORATORY / 1ST, 2ND AND 5TH FLOOR SCIENCE COMPLEX BUILDING",,,,,,,,,,,,,,C - Complete,,,,,,INC - Incomplete,,,,,,X - Schedule,,,,,,,,P - Performed,,,,,X - Schedule,,,,,,,,,P - Performed,,,,X - Next Calibration,,,,,,,,,,,,,,,,,,
MACHINES/EQUIPMENT/INSTRUMENTS (MEI'S) MASTER PLAN FY 2024,,,,,,,,,,,,,,X - Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P - Performed,,,,,,,,,,,,,,,,,,
No.,Manufacturer/Brand,Particulars/Name of MEI's,Type Model,QTY,Unit,Acquisition Aquired ,Serial No. ,Price PhP,Condition Please Put (/),,User Manual Code (0/1/A,Callibration Code (0/1),Memorandum Receipt (Name of Person),JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,STATUS,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,STATUS,CALIBRATION FREQUENCY,DATE CALIBRATED,CALIBRATION DUE ,CERTIFICATE NO.,TRACEABILITY,TYPE OF CALIBRATION,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,REMARKS/ STATUS
,,,,,,,,,Functional,Not functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A) Frequently Used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ADAM ,"Analytical balance, Capacity: 110-120g",PW124,1,,41925,AE4361695,85000,,/,1,1,Allen Xerxes Mariveles,,C,,,,,,,,,,X,Needs Check-up and Repair,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated / Request to be added to the next calibration schedule
2,  Shimadzu,"Analytical balance, Capacity: 110-120g",ATX 224,3,,42324,D307031987,110000,/,,1,1,Fatimah Nasra Hamoy,,C,,,,,,,,,,X,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated / Request to be added to the next calibration schedule
3,,,,,,,D307031988,,/,,1,,Glenn Ongayo,,C,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated / Request to be added to the next calibration schedule
4,,,,,,,D307031989,,/,,1,,Glenn Ongayo,,C,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated / Request to be added to the next calibration schedule
5,Thomas Scientific ,Mechanical Convection Oven,Heratherm,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated / Request to be added to the next calibration schedule
6,,,,,,42324,41517312,114000,/,,1,1,Fatimah Nasra Hamoy,,C,,,,,,,,,,X,,,,,,,,X,,,,X,,,,,,,,,,,,,,,Yearly,10/27/2023,10/27/2024,2023-3808,DOST-10 RML,Outsourced,,,,,,,,,,X,,,Calibrated
7,,,,,,,41518275,,,/,1,1,Fatimah Nasra Hamoy,,C,,,,,,,,,,X,,,Need Power Supply Replacement,,,,,X,,,,X,,,,,,,,,,,,,,,Yearly,10/27/2023,10/27/2024,2023-3809,DOST-10 RML,Outsourced,,,,,,,,,,X,,,Calibrated
8,Memmert,Mechanical Convection Oven,ULM 400,1,,39047,B 494-0803,110000,/,,1,1,Allen Xerxes Mariveles,,C,,,,,,,,,,X,Needs Digital Temp Sensor Replacement,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Needs Digital Temp Sensor Replacement/ Out of Service
9,Memmert,Mechanical Convection Oven,ULM 500,1,,39047,D06061 / f500.0238,105000,/,,1,1,Allen Xerxes Mariveles,,C,,,,,,,,,,X,Needs Digital Temp Sensor Replacement,,,,,,,X,,,,X,,,,,,,,,,,,,,,Yearly,11/23/2023,11/23/2024,2023SMCS44771,Southern Metrology and Calibration Services,Outsourced,,,,,,,,,,,X,,Calibrated
10,Hereaus ,"Oven, Drying",T-5025,1,,34856,82-02-146,30000,/,,0,1,Allen Xerxes Mariveles,,C,,,,,,,,,,x,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated / Request to be added to the next calibration schedule
11,Philab,Fumehood,P-FG59,2,,39904,,250000,/,,0,1,Allen Xerxes Mariveles,,C,,,,,,,,,,x,Needs smoke Stacks Motor Pump Belt Replacement,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Needs Smoke Stacks Motor Pump Belt Replacement / Out of Service
12, MarsLab,Fumehood,,3,,42315,,400000,/,,0,1,Glenn Ongayo,,C,,,,,,,,,,x,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated / Request to be added to the next calibration schedule
13,Radwag,Top-Loading Balance,WLC 1/A2,1,,39861,215139,20000,/,,1,1,Allen Xerxes Mariveles,,C,,,,,,,,,,x,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated / Request to be added to the next calibration schedule
14,A & D Company ,Top-Loading Balance,Model: GF-3000,6,,42315,TO352638    ,24000,/,,1,1,Glenn Ongayo,,C,,,,,,,,,,X,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated / Request to be added to the next calibration schedule
15,,,,,,,TO352646,,/,,1,1,Glenn Ongayo,,C,,,,,,,,,,X,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated / Request to be added to the next calibration schedule
16,,,,,,,TO353290,,/,,1,1,Glenn Ongayo,,C,,,,,,,,,,X,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated / Request to be added to the next calibration schedule
17,,,,,,,TO352654  ,,/,,1,1,Glenn Ongayo,,C,,,,,,,,,,X,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated / Request to be added to the next calibration schedule
B)  Moderately Used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Suntex ,"pH Meter, Portable",TS-1,1,,41355,110734956,24000,/,,1,1,Allen Xerxes Mariveles,,C,,,,,,,,,,X,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated / Request to be added to the next calibration schedule
19,Suntex ,"
Hotplate Stirrer",SH 301,8,,42327,1402004692,21000,/,,1,1,Glenn Ongayo,,C,,,,,,,,,,X,,,Needs Stirring Alignment,,,,,X,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated / Request to be added to the next calibration schedule
20,,,,,,,1402004695,,/,,1,1,Glenn Ongayo,,C,,,,,,,,,,X,,,Needs Stirring Alignment,,,,,X,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated / Request to be added to the next calibration schedule
21,,,,,,,1403004759,,/,,1,1,Glenn Ongayo,,C,,,,,,,,,,X,,,Needs Stirring Alignment,,,,,X,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated / Request to be added to the next calibration schedule
